Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,US-2023-100000,2015-01-01,2015-01-06,Standard Class,AB-10082,Corporate,United States,Washington,48618,South,FUR-TA-100969,Office Supplies,Paper,Paper Product 2,61.3,8,0.1,25.28
2,US-2023-100001,2015-01-01,2015-01-06,Second Class,AB-10034,Corporate,United States,Texas,60599,South,FUR-TA-100182,Furniture,Furnishings,Furnishings Product 29,94.41,4,0.5,0.79
3,US-2023-100002,2015-01-01,2015-01-06,Same Day,AB-10055,Consumer,United States,Washington,35688,West,FUR-TA-100922,Office Supplies,Storage,Storage Product 21,165.61,3,0.3,94.09
4,US-2023-100003,2015-01-01,2015-01-06,Same Day,AB-10098,Home Office,United States,Washington,56590,Central,FUR-TA-100940,Office Supplies,Supplies,Supplies Product 18,470.22,4,0.4,57.26
5,US-2023-100004,2015-01-01,2015-01-08,Same Day,AB-10039,Consumer,United States,California,92631,South,FUR-TA-100598,Technology,Accessories,Accessories Product 17,13.02,1,0.7,-3.04
6,US-2023-100005,2015-01-01,2015-01-04,Standard Class,AB-10029,Consumer,United States,New York,63660,East,FUR-TA-100700,Technology,Copiers,Copiers Product 13,214.3,9,0.0,-25.1
7,US-2023-100006,2015-01-01,2015-01-08,Standard Class,AB-10032,Home Office,United States,Texas,70548,West,FUR-TA-100630,Furniture,Chairs,Chairs Product 20,2733.41,11,0.4,335.87
8,US-2023-100007,2015-01-01,2015-01-04,Same Day,AB-10010,Consumer,United States,New York,94923,South,FUR-TA-100138,Office Supplies,Storage,Storage Product 23,761.26,5,0.1,-64.76
9,US-2023-100008,2015-01-01,2015-01-08,Same Day,AB-10024,Corporate,United States,Texas,39586,South,FUR-TA-100236,Furniture,Bookcases,Bookcases Product 14,2039.74,7,0.4,-61.35
10,US-2023-100009,2015-01-01,2015-01-04,Standard Class,AB-10030,Home Office,United States,California,79538,West,FUR-TA-100500,Office Supplies,Paper,Paper Product 15,72.39,3,0.5,-18.12
11,US-2023-100010,2015-01-02,2015-01-09,First Class,AB-10039,Home Office,United States,Texas,48573,West,FUR-TA-100958,Office Supplies,Binders,Binders Product 49,198.05,5,0.0,10.28
12,US-2023-100011,2015-01-02,2015-01-09,Second Class,AB-10020,Home Office,United States,Texas,67894,East,FUR-TA-100341,Technology,Accessories,Accessories Product 3,17.63,13,0.4,6.02
13,US-2023-100012,2015-01-02,2015-01-04,Second Class,AB-10061,Corporate,United States,Texas,20664,West,FUR-TA-100442,Technology,Copiers,Copiers Product 21,7854.18,10,0.5,92.29
14,US-2023-100013,2015-01-02,2015-01-09,Second Class,AB-10039,Consumer,United States,California,11390,East,FUR-TA-100538,Office Supplies,Envelopes,Envelopes Product 42,1157.95,14,0.0,231.53
15,US-2023-100014,2015-01-02,2015-01-04,First Class,AB-10018,Corporate,United States,Washington,10856,West,FUR-TA-100432,Office Supplies,Fasteners,Fasteners Product 45,10.96,4,0.2,-0.46
16,US-2023-100015,2015-01-02,2015-01-05,Same Day,AB-10078,Consumer,United States,Pennsylvania,85962,Central,FUR-TA-100235,Technology,Machines,Machines Product 26,118.16,7,0.7,32.13
17,US-2023-100016,2015-01-03,2015-01-08,Standard Class,AB-10056,Corporate,United States,New York,10086,Central,FUR-TA-100240,Technology,Accessories,Accessories Product 10,184.9,5,0.0,8.09
18,US-2023-100017,2015-01-03,2015-01-10,First Class,AB-10043,Corporate,United States,New York,12045,West,FUR-TA-100304,Furniture,Tables,Tables Product 16,1327.02,2,0.3,209.47
19,US-2023-100018,2015-01-03,2015-01-08,Second Class,AB-10042,Home Office,United States,New York,78765,South,FUR-TA-100410,Office Supplies,Appliances,Appliances Product 44,50.5,3,0.0,0.08
20,US-2023-100019,2015-01-03,2015-01-08,Same Day,AB-10074,Corporate,United States,Pennsylvania,67084,South,FUR-TA-100820,Office Supplies,Fasteners,Fasteners Product 46,200.94,8,0.0,13.72
21,US-2023-100020,2015-01-03,2015-01-08,Second Class,AB-10060,Corporate,United States,Washington,27216,West,FUR-TA-100936,Furniture,Tables,Tables Product 3,68.27,3,0.3,-5.44
22,US-2023-100021,2015-01-04,2015-01-11,Second Class,AB-10088,Consumer,United States,California,97507,Central,FUR-TA-100508,Furniture,Bookcases,Bookcases Product 16,74.68,7,0.2,26.96
23,US-2023-100022,2015-01-04,2015-01-09,First Class,AB-10040,Consumer,United States,Texas,90040,East,FUR-TA-100883,Furniture,Tables,Tables Product 23,4993.16,5,0.1,636.09
24,US-2023-100023,2015-01-04,2015-01-07,Same Day,AB-10065,Corporate,United States,Texas,99812,South,FUR-TA-100355,Office Supplies,Paper,Paper Product 27,247.32,7,0.4,0.16
25,US-2023-100024,2015-01-04,2015-01-07,First Class,AB-10085,Home Office,United States,Washington,36422,East,FUR-TA-100654,Office Supplies,Appliances,Appliances Product 17,1369.14,10,0.0,108.81
26,US-2023-100025,2015-01-05,2015-01-07,Standard Class,AB-10080,Home Office,United States,California,49925,West,FUR-TA-100607,Furniture,Furnishings,Furnishings Product 17,81.53,9,0.4,14.91
27,US-2023-100026,2015-01-05,2015-01-10,First Class,AB-10054,Consumer,United States,Texas,64316,East,FUR-TA-100437,Furniture,Furnishings,Furnishings Product 33,54.92,7,0.7,12.13
28,US-2023-100027,2015-01-05,2015-01-07,Standard Class,AB-10042,Consumer,United States,California,45667,East,FUR-TA-100670,Technology,Phones,Phones Product 9,279.02,14,0.0,9.01
29,US-2023-100028,2015-01-05,2015-01-08,Standard Class,AB-10060,Home Office,United States,Washington,13062,West,FUR-TA-100684,Technology,Machines,Machines Product 4,3980.77,6,0.2,895.43
30,US-2023-100029,2015-01-05,2015-01-12,Standard Class,AB-10014,Consumer,United States,Washington,80978,West,FUR-TA-100774,Office Supplies,Labels,Labels Product 6,347.59,12,0.0,41.0
31,US-2023-100030,2015-01-06,2015-01-09,Same Day,AB-10047,Consumer,United States,Washington,65292,East,FUR-TA-100454,Office Supplies,Paper,Paper Product 20,123.47,13,0.4,-0.44
32,US-2023-100031,2015-01-06,2015-01-11,Same Day,AB-10014,Consumer,United States,Texas,50464,Central,FUR-TA-100216,Technology,Accessories,Accessories Product 8,49.57,1,0.0,3.05
33,US-2023-100032,2015-01-06,2015-01-09,Second Class,AB-10065,Home Office,United States,California,98060,East,FUR-TA-100246,Furniture,Bookcases,Bookcases Product 2,1269.11,4,0.2,32.89
34,US-2023-100033,2015-01-06,2015-01-08,Standard Class,AB-10090,Home Office,United States,New York,87649,South,FUR-TA-100880,Furniture,Chairs,Chairs Product 11,8155.23,8,0.0,3276.22
35,US-2023-100034,2015-01-06,2015-01-09,Same Day,AB-10080,Corporate,United States,New York,37622,Central,FUR-TA-100583,Office Supplies,Art,Art Product 34,17.57,1,0.0,2.42
36,US-2023-100035,2015-01-07,2015-01-12,First Class,AB-10098,Consumer,United States,Texas,64473,East,FUR-TA-100828,Furniture,Tables,Tables Product 46,1837.11,6,0.1,424.99
37,US-2023-100036,2015-01-07,2015-01-14,First Class,AB-10034,Corporate,United States,Pennsylvania,67494,South,FUR-TA-100680,Office Supplies,Binders,Binders Product 4,86.27,2,0.4,25.88
38,US-2023-100037,2015-01-07,2015-01-10,Same Day,AB-10076,Corporate,United States,Pennsylvania,49360,Central,FUR-TA-100692,Technology,Copiers,Copiers Product 47,3922.2,13,0.4,524.02
39,US-2023-100038,2015-01-07,2015-01-10,Same Day,AB-10061,Corporate,United States,Washington,67717,South,FUR-TA-100773,Office Supplies,Fasteners,Fasteners Product 18,182.83,9,0.5,47.81
40,US-2023-100039,2015-01-07,2015-01-12,Second Class,AB-10045,Consumer,United States,California,81739,West,FUR-TA-100992,Office Supplies,Binders,Binders Product 18,269.57,8,0.7,33.48
41,US-2023-100040,2015-01-07,2015-01-12,Second Class,AB-10032,Home Office,United States,New York,58646,East,FUR-TA-100826,Technology,Copiers,Copiers Product 18,10903.18,9,0.1,1151.4
42,US-2023-100041,2015-01-08,2015-01-13,Second Class,AB-10017,Consumer,United States,Washington,46483,West,FUR-TA-100609,Furniture,Tables,Tables Product 47,3464.38,9,0.0,251.28
43,US-2023-100042,2015-01-08,2015-01-15,First Class,AB-10040,Home Office,United States,Texas,34731,Central,FUR-TA-100422,Furniture,Bookcases,Bookcases Product 36,22991.72,14,0.0,1187.7
44,US-2023-100043,2015-01-08,2015-01-13,First Class,AB-10072,Consumer,United States,Pennsylvania,26249,South,FUR-TA-100877,Office Supplies,Appliances,Appliances Product 19,708.98,13,0.7,141.01
45,US-2023-100044,2015-01-08,2015-01-13,Standard Class,AB-10030,Home Office,United States,Texas,37634,South,FUR-TA-100259,Office Supplies,Binders,Binders Product 47,61.84,2,0.5,-2.45
46,US-2023-100045,2015-01-08,2015-01-15,First Class,AB-10059,Corporate,United States,California,43305,West,FUR-TA-100989,Furniture,Bookcases,Bookcases Product 5,1172.69,2,0.3,-63.84
47,US-2023-100046,2015-01-09,2015-01-14,Same Day,AB-10038,Consumer,United States,California,65079,West,FUR-TA-100353,Office Supplies,Supplies,Supplies Product 32,510.09,9,0.0,129.17
48,US-2023-100047,2015-01-09,2015-01-12,Second Class,AB-10069,Home Office,United States,California,61573,Central,FUR-TA-100324,Office Supplies,Storage,Storage Product 40,33.39,2,0.5,9.84
49,US-2023-100048,2015-01-09,2015-01-12,Standard Class,AB-10076,Corporate,United States,Pennsylvania,52386,Central,FUR-TA-100426,Office Supplies,Art,Art Product 5,20.75,4,0.0,7.75
50,US-2023-100049,2015-01-09,2015-01-12,Standard Class,AB-10053,Corporate,United States,Pennsylvania,76140,East,FUR-TA-100752,Office Supplies,Envelopes,Envelopes Product 43,34.39,2,0.1,2.03
51,US-2023-100050,2015-01-10,2015-01-12,Same Day,AB-10098,Corporate,United States,Washington,36618,Central,FUR-TA-100521,Office Supplies,Paper,Paper Product 30,26.1,1,0.1,-3.63
52,US-2023-100051,2015-01-10,2015-01-12,Second Class,AB-10011,Corporate,United States,Texas,74752,Central,FUR-TA-100366,Furniture,Furnishings,Furnishings Product 38,506.44,12,0.7,-82.95
53,US-2023-100052,2015-01-10,2015-01-12,Standard Class,AB-10024,Home Office,United States,New York,20900,Central,FUR-TA-100992,Office Supplies,Art,Art Product 45,34.17,13,0.5,10.91
54,US-2023-100053,2015-01-10,2015-01-17,Second Class,AB-10048,Home Office,United States,New York,46356,Central,FUR-TA-100114,Furniture,Furnishings,Furnishings Product 47,603.66,11,0.4,151.06
55,US-2023-100054,2015-01-10,2015-01-17,Second Class,AB-10049,Corporate,United States,New York,75936,West,FUR-TA-100438,Technology,Accessories,Accessories Product 16,548.23,14,0.1,103.72
56,US-2023-100055,2015-01-10,2015-01-15,Second Class,AB-10056,Corporate,United States,Pennsylvania,51893,West,FUR-TA-100875,Office Supplies,Supplies,Supplies Product 12,1174.9,10,0.4,253.17
57,US-2023-100056,2015-01-11,2015-01-18,First Class,AB-10085,Corporate,United States,Washington,33016,South,FUR-TA-100863,Office Supplies,Labels,Labels Product 2,111.24,7,0.0,24.77
58,US-2023-100057,2015-01-11,2015-01-13,Second Class,AB-10061,Corporate,United States,California,92599,Central,FUR-TA-100148,Office Supplies,Art,Art Product 17,204.52,12,0.5,82.71
59,US-2023-100058,2015-01-11,2015-01-18,Second Class,AB-10097,Corporate,United States,California,83370,West,FUR-TA-100571,Office Supplies,Art,Art Product 29,202.15,11,0.5,-8.83
60,US-2023-100059,2015-01-11,2015-01-16,Same Day,AB-10015,Consumer,United States,Washington,71045,East,FUR-TA-100165,Office Supplies,Appliances,Appliances Product 44,21.47,5,0.7,-0.25
61,US-2023-100060,2015-01-11,2015-01-13,Same Day,AB-10079,Home Office,United States,Pennsylvania,25037,South,FUR-TA-100713,Technology,Copiers,Copiers Product 22,2064.81,3,0.7,398.76
62,US-2023-100061,2015-01-11,2015-01-13,Standard Class,AB-10057,Home Office,United States,New York,56072,West,FUR-TA-100964,Technology,Accessories,Accessories Product 9,172.23,8,0.0,40.56
63,US-2023-100062,2015-01-11,2015-01-14,Standard Class,AB-10067,Consumer,United States,Texas,96553,Central,FUR-TA-100950,Office Supplies,Art,Art Product 16,53.19,5,0.4,-3.25
64,US-2023-100063,2015-01-12,2015-01-13,Second Class,AB-10012,Home Office,United States,Pennsylvania,61653,Central,FUR-TA-100514,Furniture,Chairs,Chairs Product 27,390.76,1,0.0,95.45
65,US-2023-100064,2015-01-12,2015-01-15,Same Day,AB-10055,Corporate,United States,New York,35611,South,FUR-TA-100891,Office Supplies,Storage,Storage Product 37,42.94,9,0.3,2.3
66,US-2023-100065,2015-01-12,2015-01-14,Standard Class,AB-10027,Home Office,United States,California,12958,West,FUR-TA-100953,Office Supplies,Art,Art Product 9,340.46,14,0.2,67.34
67,US-2023-100066,2015-01-12,2015-01-15,First Class,AB-10065,Corporate,United States,Washington,75277,South,FUR-TA-100704,Furniture,Bookcases,Bookcases Product 18,2953.95,14,0.0,-218.26
68,US-2023-100067,2015-01-12,2015-01-15,Same Day,AB-10042,Home Office,United States,Washington,14992,East,FUR-TA-100645,Furniture,Chairs,Chairs Product 5,115.47,5,0.0,-19.59
69,US-2023-100068,2015-01-12,2015-01-19,Same Day,AB-10026,Consumer,United States,New York,45261,South,FUR-TA-100160,Technology,Phones,Phones Product 12,777.63,3,0.5,160.25
70,US-2023-100069,2015-01-12,2015-01-15,Same Day,AB-10041,Home Office,United States,Pennsylvania,20457,South,FUR-TA-100216,Furniture,Furnishings,Furnishings Product 12,333.99,6,0.0,140.32
71,US-2023-100070,2015-01-12,2015-01-15,First Class,AB-10085,Corporate,United States,New York,60949,East,FUR-TA-100359,Office Supplies,Binders,Binders Product 41,156.21,8,0.1,19.71
72,US-2023-100071,2015-01-12,2015-01-17,Standard Class,AB-10094,Consumer,United States,Pennsylvania,78543,Central,FUR-TA-100533,Office Supplies,Binders,Binders Product 29,10.57,2,0.0,4.16
